formA	classA	formB	classB	shift
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_11_10_5_7_8_4_0_6_9_2_1	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_6_9_2_1_3_11_10_5_7_8_4	mhg:4_11_10_5_1_4_10_1_7_9_6	5
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_2_1_3_11_10_5_7_8_4_0_6	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_3_11_10_5_7_8_4_0_6_9_2	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_7_8_4_0_6_9_2_1_3_11_10	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_8_4_0_6_9_2_1_3_11_10_5	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_0_6_9_2_1_3_11_10_5_7_8	mhg:1_2_7_11_8_2_11_5_3_6_8	4
mhg:10_5_7_8_4_0_6_9_2_1_3_11	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_4_0_6_9_2_1_3_11_10_5_7	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_9_4_5_3_7_8_1_11_10_2_6	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_5_3_7_8_1_11_10_2_6_0_9	mhg:1_10_4_1_5_10_11_4_4_6_9	8
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_8_1_11_10_2_6_0_9_4_5_3	mhg:1_5_10_11_4_4_6_9_7_1_10	11
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_7_8_1_11_10_2_6_0_9_4_5	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_0_9_4_5_3_7_8_1_11_10_2	mhg:4_11_10_5_1_4_10_1_7_9_6	5
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_4_5_3_7_8_1_11_10_2_6_0	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_3_7_8_1_11_10_2_6_0_9_4	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_11_10_2_6_0_9_4_5_3_7_8	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_10_2_6_0_9_4_5_3_7_8_1	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:2_6_0_9_4_5_3_7_8_1_11_10	mhg:1_2_7_11_8_2_11_5_3_6_8	4
mhg:8_1_11_10_2_6_0_9_4_5_3_7	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_2_6_0_9_4_5_3_7_8_1_11	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_3_8_7_9_5_4_11_1_2_10_6	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_7_9_5_4_11_1_2_10_6_0_3	mhg:1_10_4_1_5_10_11_4_4_6_9	8
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_4_11_1_2_10_6_0_3_8_7_9	mhg:1_5_10_11_4_4_6_9_7_1_10	11
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_5_4_11_1_2_10_6_0_3_8_7	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_0_3_8_7_9_5_4_11_1_2_10	mhg:4_11_10_5_1_4_10_1_7_9_6	5
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_8_7_9_5_4_11_1_2_10_6_0	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_9_5_4_11_1_2_10_6_0_3_8	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_1_2_10_6_0_3_8_7_9_5_4	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_2_10_6_0_3_8_7_9_5_4_11	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_6_0_3_8_7_9_5_4_11_1_2	mhg:1_2_7_11_8_2_11_5_3_6_8	4
mhg:4_11_1_2_10_6_0_3_8_7_9_5	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:2_10_6_0_3_8_7_9_5_4_11_1	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_2_9_10_8_0_1_6_4_3_7_11	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_10_8_0_1_6_4_3_7_11_5_2	mhg:1_10_4_1_5_10_11_4_4_6_9	8
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_1_6_4_3_7_11_5_2_9_10_8	mhg:1_5_10_11_4_4_6_9_7_1_10	11
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_0_1_6_4_3_7_11_5_2_9_10	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_5_2_9_10_8_0_1_6_4_3_7	mhg:4_11_10_5_1_4_10_1_7_9_6	5
